Date,Name,Year,Letterboxd URI,Rating
2022-06-27,Some Kind of Wonderful,1987,https://boxd.it/1MJu,3.5
2022-06-28,28 Days Later,2002,https://boxd.it/2aXU,3
2022-07-01,2001 Maniacs,2005,https://boxd.it/1Vfy,2
2022-07-03,Resident Evil,2002,https://boxd.it/28z2,1.5
2022-07-05,Terror Train,1980,https://boxd.it/10uQ,3
2022-07-06,Cat People,1982,https://boxd.it/21SQ,2.5
2022-07-08,Nothing but Trouble,1991,https://boxd.it/1SJK,1.5
2022-07-08,The Legend of Hell House,1973,https://boxd.it/1KEs,2.5
2022-07-09,After Death,1989,https://boxd.it/22z6,0.5
2022-07-09,My Soul to Keep,2019,https://boxd.it/ivFY,3.5
2022-07-10,Salem's Lot,1979,https://boxd.it/1U58,2
2022-07-10,Saturday the 14th,1981,https://boxd.it/1DqI,0.5
2022-07-10,Scorned,1993,https://boxd.it/5jw,0.5
2022-07-10,Sisters of Death,1976,https://boxd.it/GnK,1.5
2022-07-11,The Skulls,2000,https://boxd.it/1TKY,2
2022-07-11,The Slumber Party Massacre,1982,https://boxd.it/1rIq,2
2022-07-12,Slumber Party Massacre II,1987,https://boxd.it/1r1G,1
2022-07-12,So This Is Africa,1933,https://boxd.it/5dkM,2
2022-07-13,Secret Window,2004,https://boxd.it/28xq,3
2022-07-13,The Siege,1998,https://boxd.it/1XCu,3.5
2022-07-13,The Sleep of Death,1980,https://boxd.it/c4jk,1.5
2022-07-13,Slumber Party Massacre III,1990,https://boxd.it/1r1c,2.5
2022-07-13,So This Is Harris!,1933,https://boxd.it/6SE6,1.5
2022-07-15,10 to Midnight,1983,https://boxd.it/1GFG,3.5
2022-07-16,Phantasm,1979,https://boxd.it/1YaG,2.5
2022-07-24,The Ring,2002,https://boxd.it/2a70,5
2022-08-01,American Psycho,2000,https://boxd.it/28Vs,2
2022-08-02,Alita: Battle Angel,2019,https://boxd.it/e0rS,4
2022-08-03,Ma,2019,https://boxd.it/i8Wi,3.5
2022-08-04,The Amityville Horror,1979,https://boxd.it/1TPk,2
2022-08-09,The Stuff,1985,https://boxd.it/1GQa,2
2022-08-09,After Hours,1985,https://boxd.it/1VfS,3
2022-08-18,Weird Science,1985,https://boxd.it/1T1O,2
2022-08-18,Wicked Little Things,2006,https://boxd.it/1Ve6,1.5
2022-08-19,Splatter University,1984,https://boxd.it/1k6u,1.5
2022-08-19,Westworld,1973,https://boxd.it/26RS,3
2022-08-21,The Last House on the Left,1972,https://boxd.it/1M4m,2.5
2022-08-22,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW,3
2022-08-22,30 Days of Night,2007,https://boxd.it/24dw,3
2022-08-23,30 Days of Night: Dark Days,2010,https://boxd.it/VH6,2
2022-08-24,200 Motels,1971,https://boxd.it/1rjA,0.5
2022-08-25,...All the Marbles,1981,https://boxd.it/1kKa,3.5
2022-08-26,Amazon Women on the Moon,1987,https://boxd.it/22Is,2.5
2022-08-29,Antisocial,2013,https://boxd.it/6dIc,1.5
2022-08-29,The Adventures of Robin Hood,1938,https://boxd.it/1V6G,3
2022-08-30,American Mary,2012,https://boxd.it/48WY,4
2022-08-30,An American Werewolf in Paris,1997,https://boxd.it/1YLi,1.5
2022-09-01,After Midnight,1989,https://boxd.it/6Ru,2
2022-09-01,Wrong Turn 4: Bloody Beginnings,2011,https://boxd.it/2qnS,2.5
2022-09-02,American Psycho II: All American Girl,2002,https://boxd.it/1VxC,1.5
2022-09-03,The 4th Floor,1999,https://boxd.it/FiO,2.5
2022-09-06,Alien Intruder,1993,https://boxd.it/16Da,1.5
2022-09-06,Apollo 18,2011,https://boxd.it/DQu,2.5
2022-09-07,Apache Woman,1976,https://boxd.it/32zM,1
2022-09-08,Anaconda,1997,https://boxd.it/1YSy,1.5
2022-09-12,The Rock,1996,https://boxd.it/1XM0,3.5
2022-09-14,Prime Evil,1988,https://boxd.it/2J1Q,2.5
2022-09-15,Pumpkinhead,1988,https://boxd.it/1tJq,3
2022-09-15,Real Genius,1985,https://boxd.it/1OeI,4.5
2022-10-10,The Contractor,2022,https://boxd.it/niAc,3
2022-10-10,The Last Starfighter,1984,https://boxd.it/1SRk,3
2022-10-10,Edge of Tomorrow,2014,https://boxd.it/4pD0,5
2022-10-16,Scream,2022,https://boxd.it/o0lg,3
2022-10-16,Firestarter,2022,https://boxd.it/jnA4,1.5
2022-10-16,Collateral,2004,https://boxd.it/28F0,3
2022-10-16,L.A. Confidential,1997,https://boxd.it/27oC,5
2022-10-25,The Town that Dreaded Sundown,2014,https://boxd.it/8UuQ,3
2022-10-26,Se7en,1995,https://boxd.it/29zs,5
2022-11-21,Futureworld,1976,https://boxd.it/1VKQ,1.5
2022-11-25,Baba Yaga,1973,https://boxd.it/rf2,2
2022-11-25,Island of Death,1976,https://boxd.it/12BY,1.5
2022-11-25,The Fatal Glass of Beer,1933,https://boxd.it/znI,1
2022-11-25,The Birth of a Nation,1915,https://boxd.it/29Zg,0.5
2022-11-26,This Is the End,2013,https://boxd.it/3GB4,2
2022-11-27,The Amazing Mr. X,1948,https://boxd.it/1mbc,3
2022-11-27,Rawhead Rex,1986,https://boxd.it/1Q1c,2.5
